Date,20211110_110122_0099
Motor Name,motor_test
Record ID, Time(ms), X-Accel, Y-Accel, Z-Accel, Motor Speed
1,1000,0.1347585,0.1351131,0.1454538,0
2,2000,0.1366368,0.1510657,0.1747683,0
3,3000,0.11771718,0.131605,0.1426689,0
4,4000,0.1380505,0.1604652,0.1739066,0
5,5000,0.10503656,0.12248921,0.217138,0
6,6000,0.1566728,0.1449171,0.1509573,0
7,7000,0.1436483,0.12331891,0.11421029,0
8,8000,0.1333441,0.1268788,0.10717019,0
9,9000,0.1287016,0.1760117,0.1330656,0
10,10000,0.1346178,0.1341477,0.1386723,0
11,11000,0.1465359,0.1584369,0.1517761,0
12,12000,0.1650136,0.133049,0.11227959,0
13,13000,0.1293635,0.10038447,0.1297143,0
14,14000,0.12146999,0.15332,0.1905476,0
15,15000,0.1516974,0.1539442,0.11076823,0
16,16000,0.1425266,0.1604663,0.10737152,0
17,17000,0.11267926,0.1424445,0.10744012,0
18,18000,0.1339364,0.11367039,0.1271041,0
19,19000,0.1727469,0.1566033,0.1579726,0
20,20000,0.1811716,0.1300117,0.11959602,0
21,21000,0.1317225,0.1452994,0.1378327,0
22,22000,0.1546551,0.1514529,0.11831027,0
23,23000,0.1768532,0.1579724,0.1465205,0
24,24000,0.1206765,0.10687502,0.1382546,0
25,25000,0.6047421,0.471642,0.1517365,123
26,26000,0.6545198,0.5503033,0.1557866,200
27,27000,0.6975709,0.5318905,0.1512283,200
28,28000,0.6711917,0.4894536,0.1644835,200
29,29000,0.6736328,0.526084,0.1684113,200
30,30000,0.6636675,0.5550858,0.1746743,200
31,31000,0.6591073,0.5379719,0.1340245,200
32,32000,0.6130868,0.508979,0.1459011,200
33,33000,0.6854169,0.4951301,0.1584764,200
34,34000,0.6178523,0.4425242,0.1402437,200
35,35000,0.5469482,0.5325354,0.1323548,200
36,36000,1.488346,1.411668,0.1338013,319
37,37000,1.587361,1.268676,0.2195884,500
38,38000,3.460533,2.830795,0.2418481,500
39,39000,3.511005,2.804938,0.20538,500
40,40000,3.435395,2.812397,0.1960016,500
41,41000,3.532735,2.831806,0.2272619,500
42,42000,3.514614,2.853899,0.2372135,500
43,43000,3.473632,2.778903,0.2136158,500
44,44000,3.489317,2.883484,0.2267676,500
45,45000,3.502572,2.860829,0.2225531,500
46,46000,3.420241,2.824602,0.261223,500
47,47000,3.558361,2.928935,0.1876192,500
48,48000,3.515833,2.871254,0.2064507,500
49,49000,3.615476,2.962483,0.2856035,500
50,50000,2.715432,2.137081,0.2134242,500
51,51000,2.498989,1.784964,0.2216329,500
52,52000,4.868666,3.558975,0.3108963,500
53,53000,5.786186,2.965022,0.3647976,500
54,54000,5.693991,6.781914,1.130926,500
55,55000,2.164365,1.647647,0.2492625,500
56,56000,2.679348,2.119243,0.2321445,500
57,57000,2.830633,2.359711,0.2182409,500
58,58000,2.491155,4.164962,0.4339055,500
59,59000,2.387447,3.089293,0.5210915,500
60,60000,5.625285,5.304159,0.2081576,500
61,61000,2.317438,5.236016,0.7965916,500
62,62000,3.066365,6.991413,0.5956629,500
63,63000,3.526601,6.398086,0.8450484,500
64,64000,3.845941,6.069515,0.8800997,500
65,65000,4.158277,5.674464,0.8646028,500
66,66000,2.220858,1.613869,0.2479953,500
67,67000,1.17014,1.090987,0.2212988,500
68,68000,2.707284,2.097777,0.7968027,500
69,69000,2.77044,2.15333,0.2567724,500
